Bahan Pangan,Ciri Fisik
Ikan lele Varian-1,Tekstur terlalu kenyal (Ciri-1)
Jambu Varian-2,Rasa getir (Ciri-2)
Ikan tuna Varian-3,Bau asam aneh (Ciri-3)
Blueberry Varian-4,Bau busuk tersembunyi (Ciri-4)
Jeruk Varian-5,Rasa asam mencolok (Ciri-5)
Kubis Varian-6,Tetap segar aneh (Ciri-6)
Sawi Varian-7,Rasa getir (Ciri-7)
Kubis Varian-8,Bau deterjen (Ciri-8)
Daun bawang Varian-9,Tidak basi setelah 3 hari (Ciri-9)
Kunyit Varian-10,Tidak berlendir setelah lama (Ciri-10)
Strawberry Varian-11,Tekstur licin tanpa lendir (Ciri-11)
Cengkeh Varian-12,Bau asam aneh (Ciri-12)
Mie basah Varian-13,Tidak berlendir setelah lama (Ciri-13)
Nanas Varian-14,Warna tidak alami (Ciri-14)
Buncis Varian-15,Rasa asam mencolok (Ciri-15)
Ikan salmon Varian-16,Warna neon menyilaukan (Ciri-16)
Buncis Varian-17,Tidak basi setelah 3 hari (Ciri-17)
Brokoli Varian-18,Warna belang aneh (Ciri-18)
Nanas Varian-19,Warna terlalu cerah (Ciri-19)
Terong Varian-20,Rasa pahit tidak wajar (Ciri-20)
Jus jeruk Varian-21,Bau asam aneh (Ciri-21)
Ikan patin Varian-22,Warna belang aneh (Ciri-22)
Daun bawang Varian-23,Tidak berlendir setelah lama (Ciri-23)
Kubis Varian-24,Tidak berlendir setelah lama (Ciri-24)
Ikan salmon Varian-25,Bau deterjen (Ciri-25)
Lengkuas Varian-26,Bau busuk tersembunyi (Ciri-26)
Nanas Varian-27,Bau busuk tersembunyi (Ciri-27)
Nugget ayam Varian-28,Tidak hancur saat diremas (Ciri-28)
Cumi-cumi Varian-29,Bau asam aneh (Ciri-29)
Zucchini Varian-30,Tidak berlendir setelah lama (Ciri-30)
Daun bawang Varian-31,Bau kimia menyengat (Ciri-31)
Mangga Varian-32,Tekstur lembek tak wajar (Ciri-32)
Nugget ayam Varian-33,Bau asam aneh (Ciri-33)
Semangka Varian-34,Tekstur licin tanpa lendir (Ciri-34)
Seledri Varian-35,Rasa asin berlebih (Ciri-35)
Mie basah Varian-36,Tekstur keras abnormal (Ciri-36)
Anggur Varian-37,Bau busuk tersembunyi (Ciri-37)
Blueberry Varian-38,Bau deterjen (Ciri-38)
Sosis sapi Varian-39,Tekstur lembek tak wajar (Ciri-39)
Nangka Varian-40,Bau asam aneh (Ciri-40)
Cengkeh Varian-41,Warna tidak alami (Ciri-41)
Mentimun Varian-42,Bau busuk tersembunyi (Ciri-42)
Tahu putih Varian-43,Rasa pahit tidak wajar (Ciri-43)
Tahu kuning Varian-44,Tetap segar aneh (Ciri-44)
Labu siam Varian-45,Rasa pahit tidak wajar (Ciri-45)
Teh kemasan Varian-46,Rasa asam mencolok (Ciri-46)
Serai Varian-47,Tetap segar aneh (Ciri-47)
Manggis Varian-48,Tekstur terlalu kenyal (Ciri-48)
Nangka Varian-49,Tekstur keras abnormal (Ciri-49)
Kayu manis Varian-50,Bau asam aneh (Ciri-50)
Ikan patin Varian-51,Bau kimia menyengat (Ciri-51)
Daun salam Varian-52,Bau kimia menyengat (Ciri-52)
Manggis Varian-53,Warna belang aneh (Ciri-53)
Melon Varian-54,Tekstur terlalu kenyal (Ciri-54)
Kayu manis Varian-55,Warna terlalu cerah (Ciri-55)
Bakso ikan Varian-56,Tidak basi setelah 3 hari (Ciri-56)
Pepaya Varian-57,Bau deterjen (Ciri-57)
Sirsak Varian-58,Tekstur keras abnormal (Ciri-58)
Melon Varian-59,Tekstur licin tanpa lendir (Ciri-59)
Lobak Varian-60,Tekstur licin tanpa lendir (Ciri-60)
Labu siam Varian-61,Tetap segar aneh (Ciri-61)
Jeruk Varian-62,Bau busuk tersembunyi (Ciri-62)
Kepiting Varian-63,Warna tidak alami (Ciri-63)
Bakso sapi Varian-64,Warna tidak alami (Ciri-64)
Daging sapi Varian-65,Rasa getir (Ciri-65)
Alpukat Varian-66,Tekstur lembek tak wajar (Ciri-66)
Tahu kuning Varian-67,Rasa pahit tidak wajar (Ciri-67)
Buncis Varian-68,Rasa getir (Ciri-68)
Bakso sapi Varian-69,Tekstur keras abnormal (Ciri-69)
Zucchini Varian-70,Warna tidak alami (Ciri-70)
Mie basah Varian-71,Warna tidak alami (Ciri-71)
Mie basah Varian-72,Rasa asam mencolok (Ciri-72)
Kunyit Varian-73,Bau deterjen (Ciri-73)
Jahe Varian-74,Rasa getir (Ciri-74)
Lobak Varian-75,Tidak berlendir setelah lama (Ciri-75)
Terong Varian-76,Tekstur licin tanpa lendir (Ciri-76)
Daun jeruk Varian-77,Warna tidak alami (Ciri-77)
Cengkeh Varian-78,Bau deterjen (Ciri-78)
Durian Varian-79,Bau busuk tersembunyi (Ciri-79)
Susu kedelai Varian-80,Rasa pahit tidak wajar (Ciri-80)
Air mineral Varian-81,Bau busuk tersembunyi (Ciri-81)
Ikan lele Varian-82,Bau kimia menyengat (Ciri-82)
Bakso ikan Varian-83,Tekstur licin tanpa lendir (Ciri-83)
Jeruk Varian-84,Tidak basi setelah 3 hari (Ciri-84)
Minuman soda Varian-85,Tidak berlendir setelah lama (Ciri-85)
Terong Varian-86,Tekstur lembek tak wajar (Ciri-86)
Manggis Varian-87,Warna terlalu cerah (Ciri-87)
Mangga Varian-88,Warna neon menyilaukan (Ciri-88)
Rambutan Varian-89,Tekstur terlalu kenyal (Ciri-89)
Sirup merah Varian-90,Rasa asin berlebih (Ciri-90)
Pisang Varian-91,Tekstur lembek tak wajar (Ciri-91)
Strawberry Varian-92,Tekstur lembek tak wajar (Ciri-92)
Manggis Varian-93,Warna tidak alami (Ciri-93)
Sosis ayam Varian-94,Rasa pahit tidak wajar (Ciri-94)
Buncis Varian-95,Tekstur licin tanpa lendir (Ciri-95)
Pepaya Varian-96,Tidak basi setelah 3 hari (Ciri-96)
Kopi susu Varian-97,Rasa asin berlebih (Ciri-97)
Selada Varian-98,Warna belang aneh (Ciri-98)
Ikan salmon Varian-99,Tidak hancur saat diremas (Ciri-99)
Lobak Varian-100,Rasa getir (Ciri-100)
Kepiting Varian-101,Bau deterjen (Ciri-101)
Susu sapi Varian-102,Rasa getir (Ciri-102)
Jambu Varian-103,Warna neon menyilaukan (Ciri-103)
Manggis Varian-104,Warna neon menyilaukan (Ciri-104)
Blueberry Varian-105,Tekstur lembek tak wajar (Ciri-105)
Mangga Varian-106,Tidak berlendir setelah lama (Ciri-106)
Ikan lele Varian-107,Warna belang aneh (Ciri-107)
Strawberry Varian-108,Tidak berlendir setelah lama (Ciri-108)
Melon Varian-109,Warna neon menyilaukan (Ciri-109)
Kangkung Varian-110,Rasa getir (Ciri-110)
